iata,icao,airport_name,city,country,lat,lon,tz
ABF,NGAB,Abaiang Airport,Abaiang Atoll,Kiribati,1.798609972000122,173.04100036621094,Pacific/Tarawa
ABN,SMBN,Albina Airport,Albina,Suriname,5.512720108032227,-54.05009841918945,America/Paramaribo
DRJ,SMDA,Drietabbetje Airport,Drietabbetje,Suriname,4.111359,-54.672766,America/Paramaribo
MOJ,SMMO,Moengo Airstrip,Moengo,Suriname,5.6076,-54.4003,America/Paramaribo
ICK,SMNI,Nieuw Nickerie Airport,Nieuw Nickerie,Suriname,5.955560207366943,-57.039398193359375,America/Paramaribo
OEM,SMPA,Vincent Fayks Airport,Paloemeu,Suriname,3.3452799320220947,-55.442501068115234,America/Paramaribo
SMZ,SMST,Stoelmanseiland Airport,Stoelmans Eiland,Suriname,4.349999904632568,-54.41666793823242,America/Paramaribo
TOT,SMCO,Totness Airport,Totness,Suriname,5.865829944610596,-56.32749938964844,America/Paramaribo
AGI,SMWA,Wageningen Airstrip,Wageningen,Suriname,5.841128,-56.673328,America/Paramaribo
ORJ,SYOR,Orinduik Airport,Orinduik,Guyana,4.725269794464111,-60.03499984741211,America/Guyana
NAI,SYAN,Annai Airport,Annai,Guyana,3.959439992904663,-59.12419891357422,America/Guyana
IMB,SYIB,Imbaimadai Airport,Imbaimadai,Guyana,5.7081098556518555,-60.2942008972168,America/Guyana
KAR,SYKM,Kamarang Airport,Kamarang,Guyana,5.865340232849121,-60.614200592041016,America/Guyana
USI,SYMB,Mabaruma Airport,Mabaruma,Guyana,8.199999809265137,-59.78329849243164,America/Guyana
MHA,SYMD,Mahdia Airport,Mahdia,Guyana,5.277490139007568,-59.151100158691406,America/Guyana
PJC,SGPJ,Dr Augusto Roberto Fuster International Airport,Pedro Juan Caballero,Paraguay,-22.639999389648438,-55.83000183105469,America/Asuncion
ACD,SKAD,Alcides Fernández Airport,Acandi,Colombia,8.51667,-77.3,America/Bogota
RVE,SKSA,Los Colonizadores Airport,Saravena,Colombia,6.951868,-71.857179,America/Bogota
BQJ,UEBB,Batagay Airport,Batagay,Russia,67.648002624512,134.69500732422,Asia/Vladivostok
VGZ,SKVG,Villa Garzón Airport,Villa Garzon,Colombia,0.978767,-76.6056,America/Bogota
EBG,SKEB,El Bagre Airport,El Bagre,Colombia,7.59647,-74.8089,America/Bogota
CAQ,SKCU,Juan H White Airport,Caucasia,Colombia,7.96847,-75.1985,America/Bogota
COG,SKCD,Mandinga Airport,Condoto,Colombia,5.08333,-76.7,America/Bogota
TLU,SKTL,Golfo de Morrosquillo Airport,Tolu,Colombia,9.50945,-75.5854,America/Bogota
CFB,SBCB,Cabo Frio Airport,Cabo Frio,Brazil,-22.921699523900003,-42.074298858599995,America/Sao_Paulo
OPS,SWSI,Presidente João Batista Figueiredo Airport,Sinop,Brazil,-11.885000228881836,-55.58610916137695,America/Campo_Grande
GRP,SWGI,Gurupi Airport,Gurupi,Brazil,-11.73960018157959,-49.132198333740234,America/Fortaleza
CMP,SNKE,Santana do Araguaia Airport,Santana do Araguaia,Brazil,-9.31997013092041,-50.32849884033203,America/Belem
BVS,SNVS,Breves Airport,Breves,Brazil,-1.6365300416946411,-50.443599700927734,America/Belem
SFK,SNSW,Soure Airport,Soure,Brazil,-0.6994310021400452,-48.520999908447266,America/Belem
PIN,SWPI,Parintins Airport,Parintins,Brazil,-2.6730198860168457,-56.777198791503906,America/Boa_Vista
BRA,SNBR,Barreiras Airport,Barreiras,Brazil,-12.078900337219238,-45.00899887084961,America/Fortaleza
STZ,SWST,Santa Terezinha Airport,Santa Terezinha,Brazil,-10.4647216796875,-50.518611907958984,America/Campo_Grande
MQH,SBMC,Minaçu Airport,Minacu,Brazil,-13.5491,-48.195301,America/Sao_Paulo
AUX,SWGN,Araguaína Airport,Araguaina,Brazil,-7.22787,-48.240501,America/Fortaleza
NVP,SWNA,Novo Aripuanã Airport,Novo Aripuana,Brazil,-5.118030071258545,-60.364898681640625,America/Boa_Vista
FRC,SIMK,Tenente Lund Pressoto Airport,Franca,Brazil,-20.592199,-47.3829,America/Sao_Paulo
DOU,SSDO,Dourados Airport,Dourados,Brazil,-22.2019,-54.926601,America/Campo_Grande
LBR,SWLB,Lábrea Airport,Labrea,Brazil,-7.278969764709473,-64.76950073242188,America/Boa_Vista
ROO,SWRD,Maestro Marinho Franco Airport,Rondonopolis,Brazil,-16.586,-54.7248,America/Campo_Grande
GPB,SBGU,Tancredo Thomas de Faria Airport,Guarapuava,Brazil,-25.3875007629,-51.520198822,America/Sao_Paulo
JCB,SSJA,Santa Terezinha Airport,Joacaba,Brazil,-27.1714000702,-51.5532989502,America/Sao_Paulo
RVD,SWLC,General Leite de Castro Airport,Rio Verde,Brazil,-17.8347225189209,-50.956111907958984,America/Sao_Paulo
AAX,SBAX,Romeu Zema Airport,Araxa,Brazil,-19.563199996948,-46.960399627686,America/Sao_Paulo
MBZ,SWMW,Maués Airport,Maues,Brazil,-3.37217,-57.7248,America/Boa_Vista
RBB,SWBR,Borba Airport,Borba,Brazil,-4.4063401222229,-59.60240173339844,America/Boa_Vista
CIZ,SWKO,Coari Airport,Coari,Brazil,-4.134059906005859,-63.132598876953125,America/Boa_Vista
BAZ,SWBC,Barcelos Airport,Barcelos,Brazil,-0.981292,-62.919601,America/Boa_Vista
DMT,SWDM,Diamantino Airport,Diamantino,Brazil,-14.376899719238281,-56.40039825439453,America/Campo_Grande
GNM,SNGI,Guanambi Airport,Guanambi,Brazil,-14.208200454711914,-42.74610137939453,America/Fortaleza
QDJ,DAFI,Tsletsi Airport,Djelfa,Algeria,34.6657,3.351,Africa/Algiers
